audio_path,score,evaluator_id
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,5.0,3593796
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,5.0,3604412
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,1.0,3604707
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,1.0,3578979
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,3.0,3568706
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,3.0,3604636
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,3.0,3604162
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,3.0,3579347
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,4.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,4.0,3581125
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,4.0,3604097
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,4.0,3604111
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,4.0,3604132
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,4.0,3578910
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_46.wav,5.0,3604274
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,3.0,3604503
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,3.0,3581953
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,3.0,3581187
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,4.0,3578911
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,4.0,3579928
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,4.0,3568533
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,4.0,3581030
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,4.0,3568086
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,5.0,3580016
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,5.0,3580907
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,5.0,3604274
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,5.0,3604289
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,5.0,3604305
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_47.wav,5.0,3580119
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,2.0,3581953
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,2.0,3604062
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,2.0,3581187
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,3.0,3579106
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,3.0,3578996
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,3.0,3568098
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,4.0,3568872
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,5.0,3568115
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,5.0,3580053
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,5.0,3604097
